id,year,month,unit,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,recovery_cases,total_cases
65,2026,April,"Barishal Range",3,3,15,5,0,200,2,1,21,44,497,247,1038
66,2026,April,"Rajshahi Range",1,10,36,1,0,252,2,5,1,70,753,592,1723
67,2026,April,"Rangpur Range",3,5,17,4,0,237,7,7,19,80,767,454,1600
68,2026,April,"Railway Range",0,6,3,0,0,2,0,0,0,7,15,41,74
69,2026,May,DMP,2,33,16,4,0,134,13,9,31,92,528,503,1365
70,2026,May,CMP,0,3,6,0,0,45,1,3,12,20,166,213,469
71,2026,May,KMP,1,4,3,1,0,18,2,1,1,13,39,66,149
72,2026,May,RMP,0,4,3,1,0,19,4,0,2,13,63,72,181
73,2026,May,BMP,0,0,2,3,0,32,2,0,4,8,62,78,191
74,2026,May,SMP,2,0,4,7,0,15,1,2,3,20,51,78,183
75,2026,May,RPMP,0,0,0,2,0,11,0,0,5,7,29,92,146
76,2026,May,GMP,1,7,5,3,0,36,7,3,2,24,110,163,361
77,2026,May,"Dhaka Range",8,29,72,12,2,388,16,10,51,140,1274,1575,3577
78,2026,May,"Mymensingh Range",1,5,14,2,0,109,1,0,5,38,378,498,1051
79,2026,May,"Chittagong Range",8,27,71,9,0,254,18,10,51,117,1236,1203,3004
80,2026,May,"Sylhet Range",5,14,14,1,0,74,1,2,7,44,381,316,859
81,2026,May,"Khulna Range",5,12,29,24,0,165,9,2,30,59,707,759,1801
82,2026,May,"Barishal Range",3,5,20,6,2,225,2,2,32,23,480,375,1175
83,2026,May,"Rajshahi Range",6,17,29,4,0,205,9,5,12,77,740,650,1754
84,2026,May,"Rangpur Range",0,5,21,1,0,220,4,6,12,100,698,755,1822
85,2026,May,"Railway Range",0,2,1,0,0,2,0,0,0,9,9,38,61
86,2026,June,DMP,2,24,23,2,0,138,17,6,49,97,516,537,1411
87,2026,June,CMP,0,7,4,5,0,75,3,2,12,19,179,190,496
88,2026,June,KMP,1,4,3,1,0,7,0,0,2,13,51,67,149
89,2026,June,RMP,0,2,2,0,0,14,1,1,6,16,76,111,229
90,2026,June,BMP,0,1,1,0,0,18,5,0,3,5,55,74,162
91,2026,June,SMP,0,2,1,6,0,12,3,3,6,16,34,67,150
92,2026,June,RPMP,0,0,1,0,0,17,0,0,2,15,60,61,156
93,2026,June,GMP,1,2,3,1,0,28,6,1,4,23,103,186,358
94,2026,June,"Dhaka Range",13,33,74,3,2,383,17,13,60,114,1452,1611,3775
95,2026,June,"Mymensingh Range",0,4,22,2,0,132,3,1,1,42,469,387,1063
96,2026,June,"Chittagong Range",11,24,67,4,1,316,13,8,72,123,1399,1050,3088
97,2026,June,"Sylhet Range",2,11,22,3,0,100,2,4,8,58,367,294,871
98,2026,June,"Khulna Range",3,11,28,15,0,194,5,3,22,91,791,704,1867
99,2026,June,"Barishal Range",2,4,15,5,0,219,4,0,17,28,552,300,1146
100,2026,June,"Rajshahi Range",2,14,31,2,0,239,2,2,6,90,876,647,1911
101,2026,June,"Rangpur Range",1,5,27,1,0,306,9,5,25,78,853,609,1919
102,2026,June,"Railway Range",0,1,2,0,0,2,0,0,0,8,19,37,69
103,2024,January,DMP,1,25,11,18,0,110,8,5,63,141,458,885,1725
104,2024,January,CMP,0,5,5,6,1,30,4,0,15,31,128,197,422
105,2024,January,KMP,0,1,2,2,0,3,0,0,3,8,28,129,176
106,2024,January,RMP,0,4,1,2,0,8,0,1,2,6,53,165,242
107,2024,January,BMP,0,2,1,6,0,12,1,1,2,5,42,49,121
108,2024,January,SMP,1,1,1,3,0,12,0,1,5,9,52,53,138
109,2024,January,RPMP,0,0,1,1,0,4,5,0,0,6,28,72,117
110,2024,January,GMP,4,1,11,4,0,22,5,2,5,5,90,88,237
111,2024,January,"Dhaka Range",13,29,59,7,0,194,6,10,38,93,893,838,2180
112,2024,January,"Mymensingh Range",0,4,14,9,0,84,4,6,7,42,404,262,836
113,2024,January,"Chittagong Range",5,16,34,9,0,128,9,10,27,115,800,881,2034
114,2024,January,"Sylhet Range",1,7,15,5,0,22,1,1,6,55,284,113,510
115,2024,January,"Khulna Range",0,5,23,4,0,71,1,2,15,59,559,585,1324
116,2024,January,"Barishal Range",1,0,15,7,0,95,2,0,23,25,369,183,720
117,2024,January,"Rajshahi Range",1,11,26,8,0,130,1,3,4,77,719,933,1913
118,2024,January,"Rangpur Range",2,2,11,1,0,117,4,1,13,60,655,441,1307
119,2024,January,"Railway Range",0,1,1,0,0,1,0,0,0,12,11,15,41
120,2024,February,DMP,2,26,4,21,0,114,9,4,51,134,576,828,1769
121,2024,February,CMP,2,11,4,13,0,35,3,2,15,31,167,236,519
122,2024,February,KMP,1,0,0,0,0,11,0,1,7,14,36,151,221
123,2024,February,RMP,1,2,0,3,0,15,1,0,6,17,52,138,235
124,2024,February,BMP,0,0,0,3,0,10,1,1,6,10,48,48,127
125,2024,February,SMP,1,0,0,6,0,22,0,1,2,9,62,38,141
126,2024,February,RPMP,0,1,1,0,0,8,1,0,0,12,33,62,118
127,2024,February,GMP,1,6,10,0,0,32,1,1,9,8,83,109,260
128,2024,February,"Dhaka Range",9,27,54,23,0,252,10,9,32,115,981,1020,2532
129,2024,February,"Mymensingh Range",0,4,14,1,0,124,1,1,5,39,444,315,948
130,2024,February,"Chittagong Range",5,15,52,9,0,156,5,7,26,121,924,860,2180
131,2024,February,"Sylhet Range",5,4,25,3,0,57,0,3,5,54,313,156,625
132,2024,February,"Khulna Range",1,8,19,10,2,104,3,4,17,61,595,712,1536
133,2024,February,"Barishal Range",1,4,12,6,0,133,1,1,13,35,372,188,766
134,2024,February,"Rajshahi Range",1,9,23,7,0,164,5,1,9,77,729,1043,2068
135,2024,February,"Rangpur Range",3,3,17,3,0,134,2,1,17,71,692,439,1382
136,2024,February,"Railway Range",0,1,5,0,0,0,0,0,0,12,25,20,63
137,2024,March,DMP,1,28,18,28,0,127,7,2,53,163,798,866,2091
138,2024,March,CMP,0,11,6,8,0,33,4,2,13,34,172,178,461
139,2024,March,KMP,0,2,0,0,0,11,1,1,5,14,39,138,211
140,2024,March,RMP,0,0,0,0,0,11,2,2,4,13,59,145,236
141,2024,March,BMP,0,0,0,4,0,11,0,1,5,6,72,54,153
142,2024,March,SMP,0,1,3,6,0,17,1,1,8,8,67,45,157
143,2024,March,RPMP,0,0,0,0,0,7,3,0,0,8,50,58,126
144,2024,March,GMP,2,5,1,1,0,23,4,0,7,18,110,106,277
145,2024,March,"Dhaka Range",11,32,60,23,2,247,3,8,39,108,1179,1030,2742
146,2024,March,"Mymensingh Range",0,2,23,2,0,115,3,2,3,55,525,303,1033
147,2024,March,"Chittagong Range",6,30,33,8,4,151,11,5,29,122,1208,856,2463
148,2024,March,"Sylhet Range",2,4,17,2,0,58,1,7,10,54,395,147,697
149,2024,March,"Khulna Range",0,7,17,9,0,139,1,0,17,73,672,694,1629
150,2024,March,"Barishal Range",2,2,15,11,0,150,0,2,10,26,507,218,943
151,2024,March,"Rajshahi Range",1,6,25,4,0,205,5,6,5,87,874,1231,2449
152,2024,March,"Rangpur Range",0,7,20,4,0,203,5,4,9,63,703,540,1558
153,2024,March,"Railway Range",0,1,1,0,0,1,0,0,0,13,14,24,54
154,2024,April,DMP,3,15,14,24,0,149,4,4,69,140,628,635,1685
155,2024,April,CMP,0,12,9,4,0,37,4,3,12,37,149,143,410
156,2024,April,KMP,0,0,1,1,0,6,1,2,6,10,44,124,195
157,2024,April,RMP,0,2,0,0,0,21,0,2,0,14,58,143,240
158,2024,April,BMP,0,2,2,2,0,23,0,2,7,10,76,45,169
159,2024,April,SMP,0,0,2,5,0,17,0,3,6,11,70,48,162
160,2024,April,RPMP,0,0,2,3,0,9,5,1,0,9,49,38,116
161,2024,April,GMP,0,5,5,4,0,30,4,2,12,12,82,93,249
162,2024,April,"Dhaka Range",13,18,75,24,0,281,9,18,25,103,1263,838,2667
163,2024,April,"Mymensingh Range",0,2,30,8,0,108,2,4,3,42,579,325,1103
164,2024,April,"Chittagong Range",10,24,54,4,3,194,13,13,34,128,1256,685,2418
165,2024,April,"Sylhet Range",0,2,23,8,0,59,1,4,9,53,461,115,735
166,2024,April,"Khulna Range",2,2,18,14,0,129,3,4,9,58,744,646,1629
167,2024,April,"Barishal Range",0,3,11,5,0,130,1,2,9,28,565,179,933
168,2024,April,"Rajshahi Range",0,7,20,11,0,218,4,9,7,78,955,1069,2378
169,2024,April,"Rangpur Range",1,2,30,3,0,211,4,6,12,73,894,441,1677
170,2024,April,"Ralway Range",0,1,0,0,0,1,0,0,0,6,32,13,53
171,2024,May,DMP,2,19,16,23,0,172,7,10,65,194,654,764,1926
172,2024,May,CMP,1,7,7,2,0,57,4,1,18,29,142,186,454
173,2024,May,KMP,0,1,4,0,0,25,0,0,1,10,46,130,217
174,2024,May,RMP,0,6,1,1,0,17,3,1,5,12,61,141,248
175,2024,May,BMP,0,0,2,0,0,17,1,0,5,4,76,50,155
176,2024,May,SMP,1,0,2,4,0,20,2,0,7,8,64,57,165
177,2024,May,RPMP,0,0,1,1,0,9,4,0,0,3,43,68,129
178,2024,May,GMP,4,5,8,0,0,31,2,1,3,17,101,125,297
179,2024,May,"Dhaka Range",11,29,51,19,0,323,7,7,39,88,1183,911,2668
180,2024,May,"Mymensingh Range",0,4,19,5,0,122,2,3,6,39,415,287,902
181,2024,May,"Chittagong Range",4,14,53,13,0,181,4,6,28,88,1039,741,2171
182,2024,May,"Sylhet Range",2,3,15,3,0,57,0,3,9,33,359,145,629
183,2024,May,"Khulna Range",2,6,32,7,0,134,2,2,14,48,729,569,1545
184,2024,May,"Barishal Range",0,1,8,11,0,152,0,2,7,17,434,155,787
185,2024,May,"Rajshahi Range",3,13,21,5,0,227,8,6,2,67,861,956,2169
186,2024,May,"Rangpur Range",1,2,19,3,0,222,4,1,10,56,715,458,1491
187,2024,May,"Railway Range",0,5,0,1,0,1,0,0,0,13,23,15,58
188,2024,June,DMP,3,16,13,26,0,147,3,1,80,191,552,580,1612
189,2024,June,CMP,0,8,8,9,1,31,1,0,8,29,118,154,367
190,2024,June,KMP,0,0,4,2,0,14,0,1,4,12,33,111,181
191,2024,June,RMP,0,4,0,0,0,23,0,3,6,12,65,147,260
192,2024,June,BMP,0,0,1,0,0,12,0,0,7,11,68,46,145
193,2024,June,SMP,0,1,3,10,0,20,1,0,5,6,41,50,137
194,2024,June,RPMP,0,1,2,0,0,8,2,1,0,9,51,44,118
195,2024,June,GMP,2,8,6,1,0,35,2,0,4,8,63,82,211
196,2024,June,"Dhaka Range",16,17,59,15,0,278,4,9,39,91,1152,822,2502
197,2024,June,"Mymensingh Range",0,5,21,4,0,119,2,2,5,31,451,308,948
198,2024,June,"Chittagong Range",8,22,57,9,0,193,5,9,45,82,1095,716,2241
199,2024,June,"Sylhet Range",1,1,10,1,0,54,2,0,5,39,341,135,589
200,2024,June,"Khulna Range",1,6,15,4,1,177,1,3,17,49,806,569,1649
201,2024,June,"Barishal Range",5,1,10,8,0,172,0,3,8,23,541,165,936
202,2024,June,"Rajshahi Range",0,8,36,3,0,221,4,3,10,79,816,889,2069
203,2024,June,"Rangpur Range",0,5,20,2,0,184,4,1,8,57,839,470,1590
204,2024,June,"Railway Range",0,0,3,1,0,1,0,0,0,16,16,12,49
205,2024,July,DMP,3,15,59,16,46,109,1,44,32,134,510,456,1425
206,2024,July,CMP,1,9,10,2,5,35,2,2,11,27,114,112,330
207,2024,July,KMP,0,2,4,1,0,14,0,1,5,12,35,121,195
208,2024,July,RMP,1,1,3,1,1,19,2,2,3,18,41,106,198
209,2024,July,BMP,0,0,2,1,0,19,0,5,5,8,49,57,146
210,2024,July,SMP,1,0,3,6,0,16,0,8,6,7,49,0,153
211,2024,July,RPMP,0,0,2,0,0,5,2,0,0,8,60,32,109
212,2024,July,GMP,0,4,7,0,0,33,2,9,3,13,107,78,256
213,2024,July,"Dhaka Range",13,20,61,12,0,286,6,38,40,81,984,788,2329
214,2024,July,"Mymensingh Range",0,1,21,5,0,139,1,7,8,51,406,251,890
215,2024,July,"Chittagong Range",3,21,53,11,0,180,5,24,45,85,930,727,2084
216,2024,July,"Sylhet Range",1,3,14,4,0,62,1,8,9,60,337,178,677
217,2024,July,"Khulna Range",1,7,27,15,0,178,1,6,16,84,679,639,1653
218,2024,July,"Barishal Range",1,1,14,16,0,192,2,1,17,30,381,196,851
219,2024,July,"Rajshahi Range",2,14,24,9,0,207,3,8,6,83,692,1035,2083
220,2024,July,"Rangpur Range",0,2,30,3,0,206,4,7,13,72,741,429,1507
221,2024,July,"Railway Range",0,1,0,0,0,2,0,0,0,12,50,15,80
222,2024,August,DMP,4,4,119,10,4,51,11,2,15,43,217,86,566
223,2024,August,CMP,0,3,20,3,5,20,2,8,9,18,124,34,246
224,2024,August,KMP,1,1,1,0,0,12,1,1,0,3,38,10,68
225,2024,August,RMP,0,3,2,0,0,17,1,3,2,2,47,34,111
226,2024,August,BMP,0,0,5,1,0,10,0,0,6,3,43,15,83
227,2024,August,SMP,0,1,4,8,0,4,1,4,1,4,59,24,110
228,2024,August,RPMP,0,0,8,0,0,5,3,0,0,6,32,7,61
229,2024,August,GMP,3,1,17,0,0,23,0,3,3,4,48,14,116
230,2024,August,"Dhaka Range",15,7,148,10,0,185,1,4,32,51,819,121,1393
231,2024,August,"Mymensingh Range",0,2,26,3,0,87,1,0,3,30,359,52,563
232,2024,August,"Chittagong Range",4,17,73,5,6,81,3,5,25,47,710,247,1223
233,2024,August,"Sylhet Range",1,6,29,5,0,28,1,2,2,16,327,48,465
234,2024,August,"Khulna Range",4,5,62,4,0,90,0,6,5,39,567,100,882
235,2024,August,"Barishal Range",3,3,19,39,0,129,0,1,14,25,405,26,664
236,2024,August,"Rajshahi Range",0,5,72,10,0,140,1,2,6,44,662,227,1169
237,2024,August,"Rangpur Range",2,4,21,1,0,190,1,0,9,32,695,133,1088
238,2024,August,"Railway Range",0,0,0,0,0,0,0,0,0,14,8,3,25
239,2024,September,DMP,5,14,28,8,12,110,22,3,33,75,500,198,1008
240,2024,September,CMP,2,6,9,6,0,36,3,4,11,27,214,62,380
241,2024,September,KMP,0,0,1,0,0,26,2,0,5,9,58,20,121
242,2024,September,RMP,0,1,5,1,0,18,1,1,3,7,67,23,127
243,2024,September,BMP,0,1,1,0,1,16,1,0,10,8,46,15,99
244,2024,September,SMP,0,2,1,7,0,10,1,1,7,5,78,40,152
245,2024,September,RPMP,0,0,0,0,0,7,4,0,0,4,52,8,75
246,2024,September,GMP,3,3,11,1,0,28,0,2,8,9,70,16,151
247,2024,September,"Dhaka Range",17,22,73,21,0,253,6,6,45,82,1095,239,1859
248,2024,September,"Mymensingh Range",2,4,16,8,0,126,1,0,8,33,443,102,743
249,2024,September,"Chittagong Range",5,21,45,12,4,168,8,4,32,88,1060,513,1960
250,2024,September,"Sylhet Range",6,4,12,12,0,64,3,1,9,44,435,125,715
251,2024,September,"Khulna Range",2,6,19,15,1,117,8,0,17,65,740,228,1218
252,2024,September,"Barishal Range",8,2,12,20,1,145,3,0,14,28,456,63,752
253,2024,September,"Rajshahi Range",2,12,29,7,0,219,1,2,12,59,747,368,1458
254,2024,September,"Rangpur Range",3,3,20,10,0,235,1,0,19,47,825,219,1382
255,2024,September,"Railway Range",2,3,1,0,0,0,0,0,0,15,7,17,45
256,2024,October,DMP,6,20,20,23,2,125,26,6,47,97,490,386,1248
257,2024,October,CMP,1,10,6,8,0,35,5,5,10,24,176,76,356
258,2024,October,KMP,1,5,1,0,0,24,4,0,2,14,46,67,164
259,2024,October,RMP,0,4,3,0,0,7,0,0,5,5,56,70,150
260,2024,October,BMP,1,1,0,0,1,19,0,0,5,1,56,27,111
261,2024,October,SMP,1,0,2,5,0,8,1,0,4,8,56,55,140
262,2024,October,RPMP,0,1,1,0,0,7,3,0,0,8,48,21,89
263,2024,October,GMP,3,3,7,2,0,21,4,0,3,8,70,56,177
264,2024,October,"Dhaka Range",21,27,62,6,0,225,17,8,49,93,1058,460,2026
265,2024,October,"Mymensingh Range",2,5,17,8,0,112,6,1,5,53,385,184,778
266,2024,October,"Chittagong Range",14,30,52,7,2,192,7,3,52,101,1060,705,2225
267,2024,October,"Sylhet Range",5,4,18,8,0,74,2,5,5,49,340,222,732
268,2024,October,"Khulna Range",1,14,23,7,0,157,8,3,22,76,663,342,1316
269,2024,October,"Barishal Range",4,2,5,14,0,165,4,2,15,25,444,129,809
270,2024,October,"Rajshahi Range",5,19,17,2,0,212,3,1,7,68,634,518,1486
271,2024,October,"Rangpur Range",3,7,14,3,0,177,6,0,17,75,725,375,1402
272,2024,October,"Railway Range",0,5,1,0,0,0,0,0,0,17,11,22,56
273,2024,November,DMP,2,27,13,15,10,115,17,6,39,125,516,439,1324
274,2024,November,CMP,2,10,2,7,0,25,5,12,16,36,138,123,376
275,2024,November,KMP,1,2,4,1,0,23,0,1,5,13,36,67,153
276,2024,November,RMP,0,2,0,1,0,22,2,0,4,8,52,67,158
277,2024,November,BMP,0,0,0,0,0,14,2,0,4,7,53,38,118
278,2024,November,SMP,1,1,1,8,0,4,2,2,6,13,62,50,150
279,2024,November,RPMP,0,1,0,0,0,7,2,0,0,8,43,18,79
280,2024,November,GMP,0,3,3,0,0,21,6,1,2,15,66,89,206
281,2024,November,"Dhaka Range",16,23,56,8,0,217,9,4,44,86,1098,671,2232
282,2024,November,"Mymensingh Range",1,3,11,6,0,115,5,1,6,37,387,211,783
283,2024,November,"Chittagong Range",9,27,32,15,0,174,5,9,37,90,1074,799,2271
284,2024,November,"Sylhet Range",2,6,16,4,0,75,0,4,7,42,422,172,750
285,2024,November,"Khulna Range",3,10,22,8,0,134,3,5,17,77,634,465,1378
286,2024,November,"Barishal Range",4,6,8,14,1,152,2,2,29,31,424,148,821
287,2024,November,"Rajshahi Range",5,4,27,1,0,179,2,1,7,68,721,572,1587
288,2024,November,"Rangpur Range",1,4,16,3,0,175,5,1,8,54,694,415,1376
289,2024,November,"Railway Range",0,4,0,0,0,0,0,0,0,6,12,43,65
290,2024,December,DMP,9,39,24,19,9,131,17,8,60,131,584,554,1585
291,2024,December,CMP,2,6,4,8,0,25,3,1,11,26,124,128,338
292,2024,December,KMP,0,3,2,0,0,10,2,1,4,8,38,75,143
293,2024,December,RMP,0,3,1,0,0,12,2,1,4,6,55,93,177
294,2024,December,BMP,1,1,1,0,0,11,2,0,3,8,58,33,118
295,2024,December,SMP,1,3,2,7,0,11,2,2,2,7,63,49,149
296,2024,December,RPMP,1,2,0,0,0,3,2,0,0,10,36,24,78
297,2024,December,GMP,1,2,3,0,0,20,1,1,2,8,81,76,195
298,2024,December,"Dhaka Range",23,22,45,9,0,187,8,9,42,93,967,663,2068
299,2024,December,"Mymensingh Range",1,6,16,13,0,81,4,0,9,33,418,252,833
300,2024,December,"Chittagong Range",16,26,32,10,0,159,13,9,39,102,1030,734,2170
301,2024,December,"Sylhet Range",4,5,16,4,0,56,3,2,7,38,400,139,674
302,2024,December,"Khulna Range",4,14,19,4,0,125,2,5,13,78,599,462,1325
303,2024,December,"Barishal Range",3,5,4,13,0,96,2,1,21,36,431,130,742
304,2024,December,"Rajshahi Range",4,11,23,3,0,132,4,3,5,74,693,556,1508
305,2024,December,"Rangpur Range",1,7,12,0,0,146,7,1,15,59,750,467,1465
306,2024,December,"Railway Range",0,4,0,0,0,0,0,0,0,12,12,26,54
307,2023,January,DMP,0,19,9,23,1,122,4,4,42,122,540,1332,2218
308,2023,January,CMP,1,10,5,2,0,29,3,6,11,29,117,238,451
309,2023,January,KMP,1,0,1,0,0,24,1,0,2,6,30,90,155
310,2023,January,RMP,0,5,2,0,0,16,1,0,2,8,49,178,261
311,2023,January,BMP,1,0,0,0,0,15,0,1,5,13,38,74,147
312,2023,January,SMP,0,2,0,5,0,10,0,0,3,11,55,64,150
313,2023,January,RPMP,0,0,0,0,0,12,0,0,0,18,46,30,106
314,2023,January,GMP,1,2,4,4,0,26,2,3,1,6,76,80,205
315,2023,January,"Dhaka Range",12,25,48,21,0,221,5,9,30,117,879,986,2353
316,2023,January,"Mymensingh Range",0,2,14,7,0,108,1,0,7,44,478,347,1008
317,2023,January,"Chittagong Range",6,16,43,5,0,134,6,8,36,100,693,1171,2218
318,2023,January,"Sylhet Range",0,5,15,5,0,45,0,3,1,51,334,227,686
319,2023,January,"Khulna Range",3,4,15,4,0,121,2,0,10,76,587,711,1533
320,2023,January,"Barishal Range",2,2,13,3,0,78,1,2,8,26,326,251,712
321,2023,January,"Rajshahi Range",0,11,22,4,0,146,2,0,12,78,582,1121,1978
322,2023,January,"Rangpur Range",0,3,23,1,0,157,3,0,21,64,695,400,1367
323,2023,January,"Railway Range",0,1,0,0,0,1,0,0,0,15,9,33,59
324,2023,February,DMP,2,15,18,9,0,126,2,6,46,108,620,1167,2119
325,2023,February,CMP,0,4,6,7,0,39,1,3,5,23,127,238,453
326,2023,February,KMP,0,1,0,0,0,17,0,1,2,3,32,62,118
327,2023,February,RMP,0,2,2,0,0,19,3,0,2,9,54,140,231
328,2023,February,BMP,1,0,2,0,0,16,1,0,5,2,37,69,133
329,2023,February,SMP,0,0,3,9,0,11,0,3,2,14,54,56,152
330,2023,February,RPMP,0,0,0,1,0,13,0,0,0,8,53,32,107
331,2023,February,GMP,2,7,4,4,0,32,1,2,3,13,88,99,255
332,2023,February,"Dhaka Range",9,21,45,17,0,235,5,13,29,115,917,954,2360
333,2023,February,"Mymensingh Range",0,2,16,6,0,98,4,4,4,35,543,330,1042
334,2023,February,"Chittagong Range",3,12,45,10,0,142,3,9,32,96,796,984,2132
335,2023,February,"Sylhet Range",1,4,8,5,0,56,2,4,3,48,309,185,625
336,2023,February,"Khulna Range",1,10,16,19,0,109,2,4,13,72,575,731,1552
337,2023,February,"Barishal Range",1,2,8,2,0,65,0,1,9,15,313,209,625
338,2023,February,"Rajshahi Range",1,10,25,3,0,150,0,3,5,73,659,1060,1989
339,2023,February,"Rangpur Range",0,2,22,3,0,166,2,3,8,72,675,384,1337
340,2023,February,"Railway Range",0,5,2,0,0,1,0,0,0,19,21,27,75
341,2023,March,DMP,4,14,12,12,0,146,2,7,34,126,656,1262,2275
342,2023,March,CMP,0,12,4,12,0,57,3,0,13,35,159,233,528
343,2023,March,KMP,0,1,1,0,0,23,0,0,5,11,31,80,152
344,2023,March,RMP,0,7,1,0,0,16,1,1,2,11,53,115,207
345,2023,March,BMP,0,3,1,2,0,13,0,0,4,7,47,76,153
